OperadOR,Pais_Accidente,Cantidad de rutas,all_aboard,cantidad de fallecidos,desconocido,errores_humanos,fallas_gestion_trafico,fallos_equipos,problemas_disenio,problemas_fabricacion,problemas_mantenimiento,problemas_meteorologicos,Hora,año,maña,noch,tard,unknown_Hour,Mes
Aeroflot,Russia,1,90,90,0,0,0,1,1,0,1,0,0,1982,0,0,0,1,7
Pan American World Airways,United States,1,145,145,0,0,1,0,0,0,0,1,16,1982,0,0,1,0,7
Philippine Air Lines,Philippines,1,30,4,0,0,0,1,0,0,0,0,0,1982,0,0,0,1,7
Western Helicopter,United States,1,1,0,0,0,0,0,0,0,0,0,2,1982,1,0,0,0,7
Burma Airways,Myanmar,1,8,8,0,0,0,0,0,0,0,1,0,1982,0,0,0,1,8
Military - Nicaraguan Air Force,Nicaragua,1,20,20,1,0,0,0,0,0,0,0,9,1982,1,0,0,0,8
Aeroflot / Aeroflot,Russia,2,11,11,0,0,0,0,0,0,0,0,17,1982,0,0,1,0,8
Aerolineas Condor,Ecuador,1,44,44,0,1,0,0,0,0,0,0,0,1982,0,0,0,1,9
Cia Brasiliera de Tratores,Brazil,1,10,10,0,1,0,0,0,0,1,1,0,1982,0,0,0,1,9
Military - U.S. Army,United States,1,46,46,0,0,0,1,0,0,0,0,12,1982,0,0,1,0,9
Aeroflot,Luxembourg,1,77,7,0,1,0,1,0,0,0,0,19,1982,0,0,1,0,9
Far Eastern Air Transport,Taiwan,1,15,15,1,0,0,0,0,0,0,0,0,1982,0,0,0,1,11
TAAG Angola Airlines,Angola,1,15,15,0,1,0,0,0,0,0,0,0,1982,0,0,0,1,11
Aerolineas Centrales de Colombia,Colombia,1,22,22,0,1,1,1,0,0,0,0,0,1982,0,0,0,1,11
Pioneer Airlines,United States,1,2,2,0,1,0,0,0,0,0,0,19,1982,0,0,1,0,12
Aeronor Chile,Chile,1,46,46,0,1,0,1,0,0,1,0,13,1982,0,0,1,0,12
Military - Nicaraguan Air Force,Nicaragua,1,88,84,0,1,0,0,0,0,0,0,14,1982,0,0,1,0,12
Aeroflot,Russia,1,16,16,0,1,0,0,0,0,0,0,20,1982,0,1,0,0,12
CAAC,China,1,69,25,0,0,0,1,0,0,0,0,17,1982,0,0,1,0,12
46826/109,United States,1,33,1,0,1,0,1,1,0,0,1,0,1983,0,0,0,1,1
United Air Lines,United States,1,3,3,0,1,0,1,0,0,0,0,2,1983,1,0,0,0,1
