fecha,HORA declarada,OperadOR,Pais_Accidente,Cantidad de rutas,all_aboard,cantidad de fallecidos,Cause,Cause_Category,desconocido,errores_humanos,fallas_gestion_trafico,fallos_equipos,problemas_disenio,problemas_fabricacion,problemas_mantenimiento,problemas_meteorologicos
1995-01-05,20:45:00,Military - Iranian Air Force,Iran,1,12,12,['pressure'],fallos_equipos,0,0,0,1,0,0,0,0
1995-01-10,00:00:00,Merpati Nusantara Airlines,in,1,14,14,['weather'],problemas_meteorologicos,0,0,0,0,0,0,0,1
1995-01-11,19:38:00,Intercontinental de Aviacion,Colombia,1,52,51,"['electrical', 'exploded', 'faulty', 'fire', 'landed']",fallos_equipos;fallos_equipos;problemas_mantenimiento;fallos_equipos;errores_humanos,0,1,0,1,0,0,1,0
1995-01-14,19:45:00,Air Taxi - Wolfe Air Aviation Ltd.,United States,1,4,2,"['fog', 'power', 'rain']",problemas_meteorologicos;problemas_mantenimiento;problemas_meteorologicos,0,0,0,0,0,0,1,1
1995-01-17,13:59:00,Royal Nepal Airlines,Nepal,1,24,2,"['coordination', 'failure', 'inadequate', 'insufficient', 'lack', 'procedure', 'supervision', 'training']",fallas_gestion_trafico;fallos_equipos;errores_humanos;errores_humanos;errores_humanos;errores_humanos;errores_humanos;errores_humanos,0,1,1,1,0,0,0,0
1995-01-20,19:13:00,Abakan Airlines,Russia,1,19,3,"['fuel', 'trees']",problemas_mantenimiento;problemas_meteorologicos,0,0,0,0,0,0,1,1
1995-01-20,00:00:00,Leadair - Charter,France,1,10,10,"['airport', 'birds', 'engine', 'fire']",fallas_gestion_trafico;problemas_meteorologicos;fallos_equipos;fallos_equipos,0,0,1,1,0,0,0,1
1995-02-16,20:30:00,ATI,United States,1,3,3,"['collision', 'duty', 'engine', 'failure', 'lack', 'oversight', 'premature', 'procedures', 'takeoff', 'training']",errores_humanos;fallos_equipos;fallos_equipos;errores_humanos;errores_humanos;errores_humanos;errores_humanos;errores_humanos,0,1,0,1,0,0,0,0
1995-03-16,00:00:00,Aeroflot,Russia,1,10,9,"['approach', 'weather']",errores_humanos;problemas_meteorologicos,0,1,0,0,0,0,0,1
1995-03-31,09:11:00,TAROM (Transporturile Aeriene Romane),Romania,1,60,60,"['climb', 'engine', 'lack', 'snow', 'takeoff', 'visibility']",problemas_disenio;fallos_equipos;errores_humanos;problemas_meteorologicos;problemas_meteorologicos,0,1,0,1,1,0,0,1
